UID,Keywords
158906,racism
158906,slavery
158906,torture
158906,social injustice
158905,crime
158905,dystopia
158905,violence
158905,alternate society
158903,fate
158903,time
158903,reality
158903,beauracracy
158903,government
158904,17th Century
158904,English Revolution
158904,violence
158904,love
158904,madness
158909,society
158909,materialism
158909,New York
158909,newspaper tycoon
158909,success
158907,artificial intelligence
158907,turing test
158907,mystery
158907,androids
158908,1970's
158908,Mexico City
158908,society and class
158908,family
158910,learning
158910,scholarship
158910,knowledge
158910,theory
158910,trees
158910,visualization
158910,data
158910,information
158902,cultural systems
158902,society
158902,consumerism
158902,postmodernism
158902,societal objects
158901,government
158901,United States
158901,society
158901,solitude
158901,wilderness
158901,morality
158900,culture
158900,survival
158900,life
158900,society
158911,bureaucracy
158911,wrongful arrest
158911,dystopia
158911,dream
158911,clerical error
